x_mm,y_mm
-10.199054,-10.199054
-10.040245,-10.217174
-9.881436,-10.235295
-9.724687,-10.265782
-9.565907,-10.280391
-9.406286,-10.288758
-9.246505,-10.292370
-9.086669,-10.292736
-8.926830,-10.292661
-8.766996,-10.291409
-8.607182,-10.288616
-8.447370,-10.285649
-8.287563,-10.282433
-8.127774,-10.278430
-7.967986,-10.274374
-7.808199,-10.270281
-7.648421,-10.265847
-7.488644,-10.261387
-7.328868,-10.256900
-7.169092,-10.252379
-7.009318,-10.247829
-6.849543,-10.243267
-6.689767,-10.238774
-6.529990,-10.234316
-6.370213,-10.229856
-6.210433,-10.225508
-6.050649,-10.221296
-5.890865,-10.217075
-5.731078,-10.212994
-5.571285,-10.209173
-5.411491,-10.205332
-5.251694,-10.201675
-5.091889,-10.198359
-4.932084,-10.195071
-4.772275,-10.191918
-4.612462,-10.189020
-4.452648,-10.186204
-4.292832,-10.183473
-4.133012,-10.180954
-3.973191,-10.178542
-3.813370,-10.176166
-3.653545,-10.174001
-3.493719,-10.171951
-3.333893,-10.169896
-3.174064,-10.168066
-3.014234,-10.166350
-2.854404,-10.164633
-2.694572,-10.163095
-2.534739,-10.161684
-2.374905,-10.160289
-2.215071,-10.159021
-2.055236,-10.157905
-1.895400,-10.156812
-1.735564,-10.155792
-1.575727,-10.154967
-1.415889,-10.154163
-1.256052,-10.153376
-1.096214,-10.152837
-0.936375,-10.152307
-0.776537,-10.151783
-0.616698,-10.151480
-0.456858,-10.151217
-0.297019,-10.150970
-0.137180,-10.150880
0.022659,-10.150880
0.182499,-10.150897
0.342338,-10.151029
0.502177,-10.151292
0.662016,-10.151564
0.821855,-10.151927
0.981694,-10.152457
1.141532,-10.152987
1.301370,-10.153599
1.461208,-10.154391
1.621045,-10.155195
1.780882,-10.156078
1.940718,-10.157122
2.100553,-10.158214
2.260389,-10.159372
2.420222,-10.160685
2.580056,-10.162078
2.739889,-10.163513
2.899720,-10.165120
3.059550,-10.166836
3.219380,-10.168553
3.379208,-10.170479
3.539034,-10.172533
3.698860,-10.174581
3.858684,-10.176832
4.018505,-10.179227
4.178326,-10.181637
4.338145,-10.184223
4.497960,-10.187004
4.657774,-10.189817
4.817586,-10.192761
4.977393,-10.196005
5.137198,-10.199289
5.297003,-10.202622
5.456797,-10.206425
5.616590,-10.210260
5.776384,-10.214076
5.936169,-10.218266
6.095952,-10.222494
6.255736,-10.226707
6.415515,-10.231108
6.575291,-10.235584
6.735068,-10.240041
6.894844,-10.244552
7.054618,-10.249122
7.214393,-10.253663
7.374169,-10.258174
7.533945,-10.262653
7.693723,-10.267105
7.853503,-10.271448
8.013290,-10.275524
8.173078,-10.279574
8.332872,-10.283350
8.492681,-10.286490
8.652493,-10.289454
8.812313,-10.291813
8.972149,-10.292682
9.131988,-10.292757
9.291819,-10.291673
9.451544,-10.286391
9.611162,-10.277998
9.768948,-10.256047
9.926463,-10.230157
10.085272,-10.212037
10.216748,-10.157332
10.279155,-10.010179
10.341563,-9.863027
10.355219,-9.704957
10.336641,-9.546441
10.314425,-9.388154
10.290630,-9.230096
10.265572,-9.072233
10.239634,-8.914513
10.213734,-8.756786
10.188100,-8.599015
10.161658,-8.441378
10.136410,-8.283546
10.117221,-8.124864
10.097659,-7.966226
