x_mm,y_mm
-10.291176,-10.291176
-10.130382,-10.307081
-9.969589,-10.322985
-9.810180,-10.345770
-9.654376,-10.385997
-9.493237,-10.397895
-9.331985,-10.407478
-9.170433,-10.409885
-9.008855,-10.409779
-8.847281,-10.408975
-8.685732,-10.406096
-8.524208,-10.401906
-8.362689,-10.397534
-8.201193,-10.392398
-8.039716,-10.386673
-7.878241,-10.380913
-7.716777,-10.374843
-7.555321,-10.368549
-7.393867,-10.362218
-7.232414,-10.355841
-7.070964,-10.349421
-6.909515,-10.342961
-6.748063,-10.336570
-6.586608,-10.330259
-6.425153,-10.323929
-6.263695,-10.317696
-6.102228,-10.311723
-5.940760,-10.305742
-5.779291,-10.299803
-5.617803,-10.294405
-5.456316,-10.288978
-5.294827,-10.283607
-5.133317,-10.278894
-4.971806,-10.274246
-4.810292,-10.269676
-4.648768,-10.265521
-4.487238,-10.261540
-4.325707,-10.257624
-4.164170,-10.253993
-4.002628,-10.250581
-3.841085,-10.247202
-3.679537,-10.244068
-3.517985,-10.241168
-3.356433,-10.238261
-3.194876,-10.235605
-3.033316,-10.233176
-2.871756,-10.230747
-2.710193,-10.228535
-2.548627,-10.226526
-2.387061,-10.224554
-2.225493,-10.222743
-2.063923,-10.221150
-1.902352,-10.219603
-1.740780,-10.218155
-1.579206,-10.216979
-1.417632,-10.215841
-1.256057,-10.214726
-1.094481,-10.213963
-0.932904,-10.213213
-0.771328,-10.212483
-0.609750,-10.212056
-0.448172,-10.211684
-0.286594,-10.211349
-0.125016,-10.211233
0.036562,-10.211233
0.198141,-10.211270
0.359719,-10.211480
0.521297,-10.211852
0.682875,-10.212246
0.844452,-10.212803
1.006028,-10.213553
1.167605,-10.214303
1.329180,-10.215230
1.490755,-10.216356
1.652329,-10.217493
1.813902,-10.218801
1.975473,-10.220303
2.137044,-10.221849
2.298614,-10.223535
2.460181,-10.225447
2.621747,-10.227418
2.783312,-10.229479
2.944873,-10.231848
3.106433,-10.234274
3.267993,-10.236707
3.429546,-10.239578
3.591098,-10.242482
3.752650,-10.245385
3.914194,-10.248710
4.075736,-10.252128
4.237278,-10.255575
4.398812,-10.259356
4.560341,-10.263344
4.721869,-10.267371
4.883389,-10.271693
5.044901,-10.276351
5.206411,-10.281020
5.367913,-10.285994
5.529399,-10.291435
5.690887,-10.296849
5.852367,-10.302487
6.013835,-10.308450
6.175303,-10.314416
6.336766,-10.320511
6.498222,-10.326796
6.659677,-10.333109
6.821131,-10.339453
6.982581,-10.345889
7.144031,-10.352332
7.305482,-10.358734
7.466935,-10.365089
7.628390,-10.371404
7.789847,-10.377681
7.951319,-10.383527
8.112795,-10.389271
8.274272,-10.394981
8.435784,-10.399604
8.597308,-10.403806
8.758835,-10.407870
8.920401,-10.409721
9.081980,-10.409827
9.243552,-10.409382
9.405020,-10.404354
9.566164,-10.392528
9.725643,-10.371800
9.881565,-10.331692
10.042358,-10.315787
10.203152,-10.299883
10.320825,-10.224331
10.386338,-10.076630
10.451851,-9.928929
10.493409,-9.775459
10.484470,-9.615322
10.453703,-9.456701
10.421362,-9.298397
10.387028,-9.140511
10.351275,-8.982939
10.315017,-8.825481
10.279016,-8.667965
10.242583,-8.510549
10.206520,-8.353049
10.175838,-8.194468
10.148634,-8.035196
10.120883,-7.876019
10.099506,-7.715952
10.082336,-7.555289
10.064906,-7.394654
10.051531,-7.233655
10.041214,-7.072408
10.031292,-6.911134
10.023566,-6.749745
10.018303,-6.588255
10.013455,-6.426750
10.009516,-6.265220
10.007604,-6.103654
10.005887,-5.942085
10.004290,-5.780514
10.003675,-5.618937
10.003061,-5.457360
10.002467,-5.295783
10.002067,-5.134205
10.001690,-4.972627
10.001335,-4.811049
10.001075,-4.649471
10.000858,-4.487893
10.000654,-4.326315
10.000500,-4.164737
10.000385,-4.003159
10.000275,-3.841580
10.000194,-3.680002
10.000141,-3.518424
10.000089,-3.356845
10.000054,-3.195267
10.000036,-3.033689
10.000018,-2.872111
10.000008,-2.710532
10.000005,-2.548954
10.000003,-2.387376
10.000002,-2.225797
10.000002,-2.064219
10.000002,-1.902641
10.000002,-1.741063
10.000002,-1.579484
10.000002,-1.417906
10.000002,-1.256328
10.000002,-1.094749
10.000002,-0.933171
10.000002,-0.771593
10.000002,-0.610014
10.000002,-0.448436
10.000002,-0.286858
10.000002,-0.125280
10.000002,0.036299
10.000002,0.197877
10.000002,0.359455
10.000002,0.521034
10.000002,0.682612
10.000002,0.844190
10.000002,1.005768
10.000002,1.167347
10.000002,1.328925
10.000002,1.490503
10.000002,1.652082
10.000002,1.813660
10.000002,1.975238
10.000002,2.136817
10.000002,2.298395
10.000004,2.459973
10.000005,2.621551
10.000010,2.783130
10.000025,2.944708
10.000043,3.106286
10.000061,3.267865
10.000111,3.429443
10.000163,3.591021
10.000216,3.752599
10.000319,3.914178
10.000433,4.075756
10.000554,4.237334
10.000734,4.398912
10.000950,4.560491
10.001178,4.722069
10.001475,4.883647
10.001851,5.045225
