L_eff_m,verif_rmse_mm,rmse_final_mm,bbox_x_mm,bbox_y_mm,aspect_ratio,converged,iterations
0.003,0.1168,0.1168,19.999,20.9661,1.0484,True,2
0.005,0.1026,0.1026,19.999,21.6109,1.0806,True,2
0.007,0.1937,0.1937,19.999,22.2557,1.1128,True,2
0.01,0.1671,0.1671,19.9988,24.1885,1.2095,True,3
0.013,0.1506,0.1506,19.9987,23.5209,1.1761,False,4
0.016,0.1506,0.1506,19.9987,23.5209,1.1761,False,4
