x_mm,y_mm
0.000000,11.127851
-0.128469,11.126542
-0.256925,11.124329
-0.385313,11.119676
-0.513628,11.113302
-0.641865,11.105510
-0.769985,11.095998
-0.897983,11.084962
-1.025736,11.071470
-1.153260,11.055873
-1.280601,11.038865
-1.407717,11.020240
-1.534490,10.999456
-1.660750,10.975731
-1.786599,10.949887
-1.912270,10.923205
-2.037414,10.894146
-2.161894,10.862361
-2.285262,10.826497
-2.408112,10.788898
-2.530756,10.750633
-2.652801,10.710505
-2.774559,10.669507
-2.895639,10.626564
-3.016119,10.581954
-3.136084,10.535980
-3.255327,10.488174
-3.373627,10.438079
-3.490953,10.385747
-3.607613,10.331931
-3.723819,10.277152
-3.838740,10.219748
-3.951784,10.158722
-4.063197,10.094751
-4.173803,10.029388
-4.284367,9.963959
-4.393929,9.896860
-4.503381,9.829584
-4.611383,9.760004
-4.718502,9.689072
-4.824956,9.617146
-4.930340,9.543664
-5.034145,9.467970
-5.136120,9.389833
-5.237958,9.311508
-5.339098,9.232286
-5.439656,9.152325
-5.539815,9.071863
-5.638617,8.989752
-5.736372,8.906388
-5.833032,8.821761
-5.929142,8.736504
-6.023962,8.649830
-6.116361,8.560585
-6.207716,8.470251
-6.298922,8.379768
-6.389942,8.289097
-6.479925,8.197408
-6.569189,8.105008
-6.658176,8.012345
-6.746200,7.918763
-6.833431,7.824443
-6.919641,7.729191
-7.004336,7.632592
-7.086768,7.534065
-7.166923,7.433667
-7.244512,7.331288
-7.319073,7.226675
-7.390830,7.120120
-7.459467,7.011534
-7.528015,6.902888
-7.597308,6.794703
-7.665536,6.685843
-7.732088,6.575957
-7.796789,6.464966
-7.860146,6.353201
-7.922468,6.240855
-7.989587,6.131399
-8.061177,6.024726
-8.132108,5.917611
-8.200343,5.808764
-8.266718,5.698765
-8.330849,5.587446
-8.392508,5.474737
-8.451946,5.360840
-8.518743,5.251115
-8.586178,5.141761
-8.651897,5.031368
-8.715987,4.920024
-8.777568,4.807271
-8.837404,4.693584
-8.895159,4.578826
-8.950893,4.463073
-9.005384,4.346726
-9.059956,4.230417
-9.113609,4.113687
-9.165575,3.996191
-9.216189,3.878110
-9.265216,3.759359
-9.312889,3.640058
-9.358895,3.520106
-9.403671,3.399686
-9.446437,3.278542
-9.487767,3.156897
-9.527390,3.034687
-9.565509,2.911998
-9.602357,2.788920
-9.637225,2.665268
-9.671018,2.541318
-9.702471,2.416752
-9.732791,2.291908
-9.761316,2.166640
-9.788361,2.041045
-9.813853,1.915127
-9.837654,1.788877
-9.859931,1.662353
-9.880264,1.535498
-9.899188,1.408427
-9.916395,1.281112
-9.932139,1.153606
-9.946118,1.025898
-9.958730,0.898043
-9.969282,0.770008
-9.978352,0.641853
-9.985710,0.513591
-9.991478,0.385247
-9.995778,0.256844
-9.998152,0.128392
-9.999476,-0.000076
-9.998150,-0.128545
-9.995773,-0.256997
-9.991471,-0.385399
-9.985702,-0.513744
-9.978341,-0.642006
-9.969270,-0.770160
-9.958715,-0.898195
-9.946102,-1.026049
-9.932121,-1.153758
-9.916376,-1.281263
-9.899167,-1.408578
-9.880240,-1.535649
-9.859907,-1.662504
-9.837626,-1.789027
-9.813824,-1.915277
-9.788331,-2.041194
-9.761284,-2.166789
-9.732756,-2.292056
-9.702435,-2.416900
-9.670980,-2.541465
-9.637185,-2.665415
-9.602313,-2.789066
-9.565464,-2.912143
-9.527343,-3.034832
-9.487718,-3.157042
-9.446387,-3.278686
-9.403618,-3.399829
-9.358842,-3.520249
-9.312834,-3.640200
-9.265160,-3.759501
-9.216131,-3.878250
-9.165514,-3.996331
-9.113547,-4.113826
-9.059891,-4.230555
-9.005320,-4.346864
-8.950835,-4.463214
-8.895105,-4.578969
-8.837354,-4.693729
-8.777521,-4.807417
-8.715944,-4.920173
-8.651858,-5.031519
-8.586143,-5.141915
-8.518710,-5.251270
-8.451923,-5.361000
-8.392487,-5.474899
-8.330833,-5.587610
-8.266709,-5.698933
-8.200344,-5.808938
-8.132123,-5.917795
-8.061211,-6.024922
-7.989644,-6.131610
-7.922546,-6.241079
-7.860230,-6.353429
-7.796879,-6.465196
